Name,Parliamentary Constituency,Number of Pupils - 2017,Primary School attendance (%) - 2017,Secondary School attendance (%) - 2017,Primary School absence (%) - 2017,Secondary School absence (%) - 2017,Primary School persistent absence (%) - 2017,Secondary School persistent absence (%) - 2017,English not first language of school pupils (%) - 2017,Primary school pupils claiming free school meals (%) - 2017,Secondary school pupils claiming free school meals (%) - 2017,Pupils attending good or better primary schools (%) - 2017,Pupils attending good or better secondary schools (%) - 2017,Pupils attending good or better schools (%) - 2017,Early Years Foundation Stage children achieving Good Level of Development (%) - 2017,Key Stage 2 pupils achieving Level 4 and above in Reading (%) - 2017,Key Stage 2 pupils achieving Level 4 and above in Writing (%) - 2017,Key Stage 2 pupils achieving Level 4 and above in Maths (%) - 2017,"Key Stage 2 pupils achieving Level 4 and above in Reading, Writing and Maths (%) - 2017",GCSE Attainment 8 (%) - 2017,GCSE pupils achieving A* to C in English and Maths (%) - 2017,Key Stage 2 Pupils Progress Score in Reading - 2017,Key Stage 2 Pupils Progress score in Writing - 2017,Key Stage 2 Pupils Progress Score in Maths - 2017,GCSE Progress 8 Score - 2017
Ancoats & Beswick,Manchester Central,1286,96.2,93.6,3.8,6.4,9,21.5,35.1,26.7,28.9,98.8,86.1,95.2,62.2,77.4,81,83.3,67.9,34.6,14.3,0.37,2.12,1.09,-0.63
Ardwick,Manchester Central,2751,96.2,95.1,3.8,4.9,7.4,13.6,55.9,26.3,34,99.4,56.7,86.4,65.1,68.1,69.8,78.4,59.5,39.8,31.5,-0.16,-0.51,1.03,-0.38
Baguley,Wythenshawe and Sale East,2462,95.4,93.9,4.6,6.1,11.8,16.9,13.4,34.3,31.5,97.9,39.9,81,66,72.1,75.1,79.6,66.2,37,20.2,-0.18,-0.07,0.33,-0.68
Brooklands,Wythenshawe and Sale East,1474,95.9,94.5,4.1,5.5,9,17,13.1,25.4,34.1,97.8,83.9,94.4,64.6,88.3,84.7,84.7,80.2,37.1,15.2,2.45,2.07,2.62,-0.77
Burnage,Manchester Withington,3565,95.7,94.3,4.3,5.7,8.5,13.8,41.8,22.5,22.3,94.1,67.2,84.8,73.3,68.8,74.6,81.6,59.6,44.8,36.2,0.65,0.56,2.42,0.04
Charlestown,Blackley and Broughton,2936,96.1,95.3,3.9,4.7,9.3,12.6,19.2,28.7,26.6,87.2,25.8,68.2,66.1,72.1,73.8,77.3,59.4,38.4,27.4,0.27,0.57,0.77,-0.44
Cheetham,Blackley and Broughton,3510,95.8,95.9,4.2,4.1,8.3,9.1,75.2,20.4,22.5,93.6,20.5,65.4,61.2,51.3,66.3,67,46,44.7,39.1,-1.26,0.04,0.67,0.42
Chorlton,Manchester Withington,1405,97.3,96,2.7,4,2.6,6.1,12.9,3.7,5.6,100,86.6,96.4,78.5,94.4,87.1,95.2,83.1,59.3,64.2,3.36,-0.49,1.97,0.75
Chorlton Park,Manchester Withington,2576,96,95.3,4,4.7,6.9,11.3,24.7,16.4,20.1,99,77.1,91.5,66.8,70.9,74.5,78.6,64.8,47.7,43.6,0.42,-0.72,0.21,-0.01
Clayton & Openshaw,Manchester Central,3468,96.5,94.8,3.5,5.2,7.6,14.1,38.8,33.2,32.2,98.8,86,95,66.5,68.4,76.4,72.7,60,40.7,27.9,-0.03,0.71,0.24,-0.18
Crumpsall,Blackley and Broughton,2953,96.3,95.7,3.7,4.3,7.4,9.6,68.3,15.5,19.9,76.7,22.2,56.8,61.3,62.3,72.1,70.2,56.3,43.1,37,0.22,0.76,1.23,0.19
Deansgate,Manchester Central,50,93.9,95.5,6.1,4.5,37.5,0,74,0,0,97.6,33.3,94,33.3,100,100,100,100,,,,,,
Didsbury East,Manchester Withington,1737,96.8,96,3.2,4,5,6.8,22.2,5.3,11.2,97.7,77.9,91.4,73.2,82.3,80,83.8,70,54.4,56.7,1.67,-0.32,1.67,0.42
